doi,abstract,participatory_method,participatory_method_rationale,green_infrastructure_intervention,green_infrastructure_rationale,rating
10.1016/j.ufug.2024.128633,"The use of large green infrastructures in peri-urban areas, such as urban forests, has become one of the most relevant tools to mitigate some of the negative impacts of urbanization while providing multiple benefits to city dwellers. However, these peri-urban forests are often highly contested spaces. Agroforestry offers a promising solution to reconcile diverging interests in the peri-urban context. In this study, we look at the Maamora cork oak forest in Morocco, which exemplifies some of the challenges faced by large-scale green infrastructures that become enmeshed in rapid urbanization. We explore these dynamics and (1) map how local residents perceive a peri-urban agroforest, (2) characterize groups of residents according to their perceptions, and (3) disentangle preferences for the development of green infrastructure. To do this, we conducted 278 participatory mapping interviews in three urban and three rural settlements around Maamora, mapping urban and rural residents' uses, values, disvalues, and development preferences. Our results show how urban agroforestry could reconcile multiple demands in peri-urban green spaces. However, our analysis reveals contrasting development preferences between rural and urban residents and points to a growing disconnection from nature among urban dwellers, which risks marginalizing diverse perspectives from those residents more closely connected to the landscape. Our analysis also highlights the importance of exploring disvalues for a better recognition of the plural values of nature and to identify potential conflicts in the context of urban and rural planning.",true,"Utilizes 278 participatory mapping interviews to capture uses, values, disvalues and development preferences among urban and rural residents.",true,Focuses on peri-urban agroforestry as a form of green infrastructure and analyzes preferences for its development through participatory mapping.,3
10.1111/conl.13079,"Maintaining ecological connectivity is crucial for biodiversity, yet effectively managing interconnected areas through actor collaboration is challenging. This study examines collaboration through social-ecological fit in interconnected aquatic “blue” and terrestrial “green” areas, encompassing natural and semi-natural elements, in human-dominated landscapes. Combining species distribution models and connectivity analyses focused on declining amphibians and survey data on actors' area management and collaboration within interconnected areas, we create a spatially explicit social-ecological network that we analyze using network models. Results highlight diverse ecological dependencies shaping actor interactions. Strong collaboration is observed in interconnected blue-rural-green areas, whereas blue-urban-green areas lack collaboration, with minor rivers and urban-green spaces at the network's core plagued by social-ecological misfit. Strengthening collaboration in these areas is essential to prevent further ecological network degradation. Incorporating a spatially explicit social-ecological perspective covering diverse blue and green areas guides targeted interventions and fosters effective conservation policy and practice.",false,Uses surveys and network analysis of actors; does not describe participatory design or co-creation in the intervention process,true,Focus on interconnected blue and green areas and collaboration to guide conservation policy and targeted interventions in green/blue infrastructure networks,1
10.1007/s43762-025-00162-4,"With the orderly progression of urban renewal in China, social capital, as an important factor in analyzing the relationship between stakeholders, has once again become a key topic in urban planning research. Green spaces have proved to have a more notable impact on social capital than other built environment factors. In light of this, the present study is based on the data of 1,282 residents' questionnaire surveys conducted in Nanjing in 2022 and extracts spatial characteristic information of green space through multisource big data such as remote sensing data, street-view data, and points of interest, to investigate the influence mechanism of physical and perceived attributes of urban green space on community social capital. The study found that there are differences in the influence mechanisms and dimensions of these dual attributes of green space on social capital. The direct effect of perceptual attributes is more substantial, while physical attributes almost exclusively affect social capital indirectly through the perception of green space. Notably, among the physical attributes, only the total coverage of neighborhood vegetation has a considerable direct effect on neighborhood relations, whereas community sentiment, a willingness to participate, and larger and more aggregated green spaces do not enhance community social capital effectively. Lastly, community social capital is affected substantially by exogenous variables of socioeconomic attributes, and there is group differentiation. Results reveal the direction of renewal and optimization of urban green spaces from the perspective of promoting social capital, which provides a reference for the synergistic and high-quality development of the community's physical and nonphysical environments.",false,The study uses residents' questionnaires and data analysis but does not describe participatory planning or co-design processes.,false,Analysis of the effects of existing green spaces on social capital without reporting an implementation/intervention.,1
10.3390/land14020230,"Urban green infrastructures (UGIs) are important elements of the urban matrix providing ecological functions and several ecosystem services beneficial to citizens. Recently, their contribution to the well-being and quality of life of citizens has been widely recognized by both the scientific community and policymakers. This study aims to explore the social relevance of UGI ecosystem services through a mixed qualitative-quantitative case study approach. First, a quantitative literature review was conducted using bibliometric network analysis, followed by a participatory process through a Scientific Caf & eacute; with a sample of Italian stakeholders involved in the UGIs' planning and management. The bibliometric network analysis identified 443 documents (from 2000 to 2024) primarily focused on three ecosystem services provided by UGIs-climate change mitigation, biodiversity conservation, and cultural services, such as health benefits, aesthetic, and recreation. The qualitative results of Scientific Caf & eacute; highlight a particular interest of stakeholders in cultural services such as physical and mental benefits provided by UGIs, as well as improving the urban aesthetic value. Additionally, the role of UGIs in microclimate regulation and heat mitigation was emphasized. The combined analysis of perspectives from the scientific community, policy-makers, stakeholders, and citizens provides a foundation for developing a participatory governance approach to UGIs.",true,Participatory Cafè with stakeholders in UGIs planning and management; mixed-methods design including qualitative participation and bibliometric analysis,false,Discusses urban green infrastructure ecosystem services and governance without reporting a new GI implementation project,1
10.1016/j.landurbplan.2024.105220,"Urban green space (UGS) plays a vital role in enhancing the resilience and livability of cities. However, the distribution and accessibility of these spaces often vary significantly within and between cities, raising concerns about environmental justice and social equity. This study aims to analyze the spatiotemporal dynamics of UGS and assess population exposure and equality implications across eight diverse cities from the Global North (GN) and Global South (GS) over the past three decades. Employing a multimethod approach combining geospatial analysis, remote sensing, and statistical techniques, this study reveals an alarming global trend of decreasing UGS, with GS cities experiencing more rapid decline than GN cities. The analysis of UGS exposure uncovers distinct trends and variations across cities, with GN cities generally having higher exposure but showing a concerning decline over time, while GS cities display mixed patterns. Arid-climate cities Phoenix and Riyadh have managed to maintain low but stable UGS levels despite their unique climatic challenges. Urbanization emerges as a dominant force driving the decline in UGS, with GS cities facing significantly higher pressures than GN cities. The findings highlight the urgent need for comprehensive urban greening strategies that prioritize UGS protection and expansion, innovative policies, community engagement, and data-driven decision-making to promote equitable and sustainable urban environments. This study contributes to the growing research on urban greening by providing a comparative analysis of UGS trajectories and exposure equality implications across diverse cities, underscoring the importance of context-specific approaches and inclusive planning processes.",false,"Multimethod analysis (geospatial analysis, remote sensing, and statistics) with no explicit participatory data collection or engagement described.",false,Analysis of urban green space trajectories and exposure; no deployment or evaluation of a concrete green infrastructure intervention.,1
10.1016/j.landurbplan.2024.105233,"Introduction: During the COVID-19 pandemic, public urban greenspaces were sought as places of respite. However, deep inequities surfaced regarding who had access to safe high-quality greenspaces. The Park Perceptions and Racialized Realities study explored the experiences of racialized people in public urban greenspaces in Toronto, Canada. Methods: This qualitative, community-based participatory action research took place in two neighbourhoods. Adapting photovoice methodology, participants were invited to (a) go on two individual greenspace visits, taking photographs in response to prompts on their experiences, and (b) participate in an online semi-structured interview to debrief their photographs and experiences. Eighteen racialized participants took over 200 photographs and videos, which were collaboratively thematically analysed by a community working group. This approach informed a deeper thematic analysis focused on racial justice and equity. Results and discussion: Findings were mapped onto four environmental justice principles: distributional, procedural, recognitional, and restorative. This framework allowed for findings to contribute to environmental justice discourse on urban greenspaces, leverage Critical Race Theory, and offer action-oriented considerations for greenspace design and planning that center racialized experiences. Conclusions: Racialized residents enjoy using public urban greenspaces but face barriers, including unequal provision, limited access, maintenance inequities, exclusion from design and planning processes and unmet needs. Greenspace planning often neglects lived experiences and reinforces systemic inequities derived from racism, falling into the same traps and tensions that Critical Race Theory has identified in other disciplines such as colorblindness, interest convergence and structural determinism. A critical race lens provides a critical, justice-oriented framework for improving equity in greenspaces.",true,"Qualitative, community-based participatory action research using photovoice and a community working group to analyze greenspace experiences",true,Focus on equitable greenspace design and planning informed by a Critical Race Theory framework and community participation,3
10.1016/j.uclim.2024.102254,"The conceptualization of green infrastructure (GI) has evolved from a limited focus on individual green spaces to a more systemic approach that considers the interconnectedness of green spaces to offer a long-lasting, all-natural remedy for climate and urban challenges. This evolution has led to greater recognition of the importance of integrating GI into urban planning, significantly shaped by stakeholder participation. This paper presents a conceptual framework aimed at supporting GI planning and implementation, with a strong emphasis on stakeholders' collaboration. The framework is built upon the evolving understanding of GI, influenced by societal values, scientific advancements, collaborations, and policy frameworks. Through a systematic review of literature from 2013 to 2023, the paper examines the changing conceptions of GI, highlighting synergies and trade-offs in its application. Findings reveal that successful GI integration in urban planning requires a collaborative approach involving government, the private sector, and community groups. However, leading such collaboration effectively remains a challenge. The final conceptual framework presented in this paper outlines four stages of collaboration: the silo approach, multidisciplinary, interdisciplinary, and transdisciplinary models. By adopting a collaborative, evolving approach to GI implementation, urban areas can fully realize the potential benefits for both people and the environment.",false,This is a literature review and conceptual framework; it does not report a participatory approach used in a GI intervention.,true,"The paper focuses on green infrastructure planning and implementation and stakeholder collaboration, outlining a framework to guide GI interventions.",1
10.1016/j.cacint.2024.100186,"In rapidly developing regions, especially in emerging economies like Ghana, the decline of greenery is an urgent concern. This ongoing trend leads to the significant loss of land and green areas, which worsens environmental challenges and imposes substantial costs on Local as well as state governments. This study focuses on the Wa Municipality, examining the interplay between urbanization, regulatory policies, and human behavior in influencing green space loss. The innovation of this research lies in its integrated approach, combining qualitative insights with regression analysis to uncover complex dynamics affecting urban green spaces. Using statistical analysis and qualitative insights combined, the study revealed that while regulatory policies play a positive role in the preservation of green spaces (with a regression coefficient of Rp = 1.07, p < 0.01), both urbanization (Ur =-0.14, p <0.05) and human behavior (Hb =-0.34, p < 0.05) significantly contribute to their decline. These findings highlight the critical need for robust legal frameworks and active community engagement to mitigate the negative effects of environmental degradation. In addition, the study emphasizes the need of reducing sprawl in cities and offers an adaptable framework that can be modified to other urban situations both within and outside of the region, offering policymakers and city planners relevant data. By implementing the strategies identified in this research, stakeholders can promote sustainable urban development and protect vital green spaces, thereby ensuring a healthier environment for current and future generations.",,Qualitative insights are mentioned but the abstract does not specify active stakeholder participation or participatory methods in planning/implementation.,false,The study analyzes regulatory policies and drivers of green space loss rather than evaluating or implementing a specific green infrastructure intervention.,1
10.1016/j.indic.2024.100561,"Urbanization, a global phenomenon, has significantly transformed ecosystems, often leading to the loss of biodiversity. Despite these challenges, urban green spaces (UGS) continue to serve as essential refuges for diverse flora and fauna within cities. This study presents an interdisciplinary, hands-on project implemented at the Portuguese Higher Institute of Education and Sciences (ISEC Lisboa), employing a Project-Based Learning (PBL) approach to explore and enhance urban biodiversity awareness. Involving 75 students from ISEC Lisboa, the project effectively demonstrated the efficacy of the PBL methodology in promoting student engagement and yielding concrete outcomes, such as a comprehensive survey documenting 71 species (39 fauna and 32 flora). To amplify the project's impact, the findings were disseminated through a well-structured communication strategy, that actively involved the students, including an on-campus exhibition and the publication of both a book and an e-publication. The participation of local schools and the recognition of the project through an environmental awareness award underscored its success in connecting academic research with community education, showcasing its potential as a model for similar urban initiatives. This study highlights the significant role of UGS as powerful educational resources that foster a deeper understanding of ecological principles and promote sustainable urban living. Additionally, it emphasizes the crucial responsibility of higher education institutions in advancing biodiversity conservation, habitat protection, and advancing broader ecological priorities to support the development of resilient and sustainable urban environments.",,Abstract describes a project-based learning approach and community engagement but does not clearly describe participatory planning/decision-making processes in a greening intervention.,false,No explicit urban greening intervention described; project focuses on biodiversity awareness using urban green spaces as educational context.,1
10.1177/21582440251328921,"As urbanization accelerates, the collaborative governance of green spaces has become a critical issue for megacities seeking sustainable development. Most existing studies focus on the successful experiences of Western democracies, and there is a lack of systematic discussion on the collaborative dynamics and practices under different political systems. This paper develops a theoretical framework based on grounded theory to analyze the collaborative governance of green spaces in Chinese megacities and reveals its key dynamics. The findings indicate that principled engagement, shared motivation, and capacity for joint action are essential drivers contributing to collaborative governance in China. In a centralized system, the government achieves efficient governance through specific screening mechanisms, top-down political pressure, strong leadership and resource integration capabilities. This study provides a robust theoretical framework and empirical insights into centralized collaborative governance, offering references to the Chinese experience in enhancing the effectiveness of green space governance in global megacities.",false,"The abstract describes using grounded theory to analyze governance dynamics, but does not report active stakeholder participation in planning/implementation/evaluation as part of the study.",false,Focus is on governance of green spaces rather than on implementing a specific green infrastructure intervention.,1
